song_id,filename,valence_pred,arousal_pred,mood_basic_pred,mood_detailed_pred,actual_quadrant,actual_mood,pred_quadrant,correct
A005,A005.mp3,0.70134097602392,0.6713709620555153,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A011,A011.mp3,0.7598047346197323,0.6064687195761649,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A014,A014.mp3,0.6685073215840671,0.7395245882936504,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A019,A019.mp3,0.7662261830357141,0.665112959404818,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A022,A022.mp3,0.6975768715052308,0.6792181752273168,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A024,A024.mp3,0.7329701666798141,0.6022941945777788,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A039,A039.mp3,0.8056530668018738,0.7206470512106358,Happy/Energetic,Excited/Euphoric,Q1,Happy/Energetic,Q1,True
A042,A042.mp3,0.7783213246302313,0.6629294890873014,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A043,A043.mp3,0.6526720193001442,0.5202723363095241,Happy/Energetic,Content/Active,Q1,Happy/Energetic,Q1,True
A047,A047.mp3,0.7602394362664999,0.6285682713293648,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A050,A050.mp3,0.7881909253458693,0.6471531249999998,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A064-116,A064-116.mp3,0.7658890913079968,0.6021758407738095,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A077-122,A077-122.mp3,0.726904735060691,0.7165331458622901,Happy/Energetic,Excited/Euphoric,Q1,Happy/Energetic,Q1,True
A086-123,A086-123.mp3,0.7234479613095236,0.7131118680104618,Happy/Energetic,Excited/Euphoric,Q1,Happy/Energetic,Q1,True
A092-96,A092-96.mp3,0.715162246746309,0.6268906398809523,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A094-110,A094-110.mp3,0.7205511484412342,0.6761305788178339,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A095-113,A095-113.mp3,0.7614517646756976,0.6546085714285713,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A100-124,A100-124.mp3,0.6655759025390461,0.7130845160152057,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A101-111,A101-111.mp3,0.7885224071133606,0.6318757819264068,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A102-114,A102-114.mp3,0.772096952231796,0.6959179239075474,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A104-119,A104-119.mp3,0.8277305729166669,0.9277343253968254,Happy/Energetic,Excited/Euphoric,Q1,Happy/Energetic,Q1,True
A105-117,A105-117.mp3,0.6729404334442112,0.6840554949044013,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A107-115,A107-115.mp3,0.6660729162451378,0.6945229203919303,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A114-120,A114-120.mp3,0.7801442182225454,0.6558165473547909,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A115-84,A115-84.mp3,0.6345320259545261,0.6486834355632135,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
A128-109,A128-109.mp3,0.6352639012896821,0.8402612262063923,Happy/Energetic,Happy/Energetic,Q1,Happy/Energetic,Q1,True
